1;1379802.470;4903747.200;8.075;AEYF;;;;;;
1;1382509.962;4896743.709;101.706;LT25;;;;;;
1;1383527.340;4906682.520;178.557;STEV;;;;;;
1;1383691.430;4908329.230;7.076;;;;;;;
1;4896743.410;1382509.960;7.020;LT25;;;;;;
1;4896743.710;1382509.960;107.022;LT25;;;;;;
1;4903747.200;1379802.470;2.362;AEYF;;;;;;
1;4919357.000;1386579.000;0.000;XS147-S;;;;;;
2;1379167.761;4903648.185;6.518;HENLEY-III;;;;;;
2;1383274.486;4894311.862;2.892;BGR5;;;;;;
2;1383527.340;4906682.520;178.557;STEV-OBS;;;;;;
2;1383691.430;4908329.230;7.076;DAIRY-OBS;;;;;;
2;4896743.710;1382509.960;107.022;T25-OBS;;;;;;
2;4896745.337;1382509.576;4.962;LT25-OBS;;;;;;
2;4906723.030;1382848.420;0.000;LT2;;;;;;
2;4919530.830;1386479.780;0.000;XS147-E;;;;;;
3;1379166.506;4903648.753;5.033;HENLEY-III-BRIAN;;;;;;
3;1379802.470;4903747.270;8.075;AEYF;;;;;;
3;1383274.486;4894311.862;3.610;BOBL;Henley;;;;;
3;1383414.000;4908075.000;0.000;15S;;;;;;
3;4896750.146;1382521.918;105.141;LT24/500;;;;;;
3;4896763.385;1382509.025;6.868;LT25-CHECK;;;;;;
3;4905008.880;1381373.650;9.350;LT5;;;;;;
3;4915135.980;1387533.730;14.460;XS15;;;;;;
4;1379802.470;4903747.200;8.075;AEYF-OBS;;;;;;
4;1379802.497;4903747.272;7.753;AEYF-OBS;;;;;;
4;1382832.000;4908638.000;0.000;15E;;;;;;
4;1383274.486;4894311.862;2.892;BGR5-OBS;;;;;;
4;1383275.193;4894312.707;4.398;BGR5-OBS;;;;;;
4;1383275.304;4894312.565;1.584;BGR5-OBS;;;;;;
4;4896754.545;1382529.723;104.931;LT24/500;;;;;;
4;4904689.350;1381008.960;8.135;LT6;;;;;;
4;4917828.700;1386118.890;15.051;ITXS27;;;;;;
5;1379523.211;4902764.143;6.584;LT11-OBS;;;;;;
5;1382510.323;4896743.910;1.858;LT25-OBS;;;;;;
5;1382511.031;4896744.754;3.365;LT25-OBS;;;;;;
5;1382511.141;4896744.613;0.550;LT25-OBS;;;;;;
5;1383153.000;4907804.000;0.000;14S;;;;;;
5;1383691.434;4908329.228;7.076;DAIRY;;;;;;
5;4896759.112;1382537.358;104.875;LT24/500;;;;;;
5;4903747.200;1379802.470;2.362;AEYF-OBS;;;;;;
5;4918977.150;1385817.450;17.390;;;;;;;
6;1382509.278;4896763.940;1.713;CHK-25;;;;;;
6;1382509.985;4896764.785;3.219;CHK-25;;;;;;
6;1382510.096;4896764.643;0.405;CHK-25;;;;;;
6;1382582.000;4907942.000;0.000;14E;;;;;;
6;4896762.835;1382545.206;104.686;LT24/500;;;;;;
6;4906723.135;1382848.465;5.653;LT2-OBS;;;;;;
6;4918607.840;1385423.240;16.572;C24X;;;;;;
7;1384247.000;4908845.000;0.000;16S;;;;;;
7;390277.132;786312.002;2.362;AEYF;HENLEY;;;;;
7;4896766.043;1382551.227;104.491;LT24/500;;;;;;
7;4918607.840;1385423.240;16.572;C24X-OBS;;;;;;
8;1379523.150;4902764.128;100.935;LT11;;;;;;
8;1383816.000;4909250.000;0.000;16E;;;;;;
8;4896768.674;1382556.123;104.034;LT24/500;;;;;;
9;1381223.692;4900154.550;100.520;LT14;;;;;;
9;1384469.000;4909062.000;0.000;17S;;;;;;
9;4896770.051;1382558.422;103.592;LT24/500;;;;;;
10;1381645.050;4899962.574;102.062;LT15;;;;;;
10;1383988.000;4909352.000;0.000;17E;;;;;;
11;1384661.000;4909248.000;0.000;18S;;;;;;
11;1387044.824;4915506.575;103.333;XS17;;;;;;
12;1384088.000;4909733.000;0.000;18E;;;;;;
12;1387304.238;4915368.666;106.643;XS16;;;0.31;;;
13;1384805.000;4909979.000;0.000;19S;;;;;;
13;1387533.860;4915135.901;108.320;XS15;;;;;;
14;1387320.000;4911700.000;0.000;26S;;;;;;
14;1388731.770;4915277.008;8.580;EVXM-OA;;;;;;
15;1387069.000;4912008.000;0.000;26E;;;;;;
15;1387533.001;4915135.106;6.888;XS15-OBS;;;;;;
15;1387533.709;4915135.951;8.394;XS15-OBS;;;;;;
15;1387533.819;4915135.809;5.580;XS15-OBS;;;;;;
16;1386853.000;4911412.000;0.000;25S;;;;;;
16;1476365.913;5007238.239;2.362;AEYF;HENLEY;;;;;
17;1379802.470;4903747.200;2.362;AEYF;HENLEY;;;;;
17;1386704.000;4911854.000;0.000;25E;;;;;;
18;1383526.324;4906679.023;173.560;B17N;;;;;;
18;1386363.000;4911458.000;0.000;24S;;;;;;
19;1379262.253;4902820.883;4.715;AEYH-HENLEY;RIVER;;;;;
19;1386180.000;4911683.000;0.000;24E;;;;;;
20;1384425.222;4919130.623;171.291;A4H6-OTRAM;HILL;;;;;
20;1385956.000;4911436.000;0.000;23S;;;;;;
21;1383528.897;4906683.678;180.225;STEV-OBS;;;;;;
21;1385423.237;4918607.839;10.220;C24X-OUTRAM-FLAT;;;;;;
22;1383526.434;4906679.055;173.441;B17N-OBS;;;;;;
23;1379802.470;4903747.200;2.362;AEYF-OBS-HENLEY;ROAD;;;;;
24;1381223.783;4900154.290;0.380;LT14-OBS;;;;;;
24;1385778.000;4911625.000;0.000;23E;;;;;;
25;1379523.270;4902764.169;0.863;LT11-OBS;;;;;;
26;1382509.322;4896763.917;1.159;LT25-RADIO-CHK;;;;;;
27;1382685.203;4896428.383;1.030;TIDE;;;;;;
28;1388731.812;4915277.002;8.885;STK14;EVXM-OA;CUT;;;;
30;1387533.728;4915135.979;8.724;XS15-OBS-HILLBASE;;;;;;
